address,kind,subject,offset,detail,evidence,status
0x004C88B0,member,the sound delegate holder,0x3C,"a pointer to a polymorphic delegate, the same offset documented for Midi's delegate in src/delegation_thunks.cpp; three neighbouring thunks all forward through it (slots 8, 37 and 38)","mov ecx,[ecx+0x3c] then dispatch through [ecx] in 0x004C88B0, 0x004C8910 and 0x004C8930; all three byte-exact where the span allows it",open
,emitter,the VCall shim and conditional tail jumps,,"the scaffolding emits NO VCall class at all when the only vtable dispatch is reached through a conditional branch, extending the tail-jmp callgraph gap already recorded for unconditional ones",tools/mizuchi_context.py 0x004C8910 emits no VCall class; the dispatch there is `je` over a `jmp dword ptr [eax+0x94]`,open
0x004C6060,table,-,0x90DB24,"eleven consecutive uint32, zeroed together","rep stosd with ecx=0xb, edi=0x90db24, eax=0",open
0x00447340,vtable-slot,Ambience,0x10C,"slot 67 takes one int, a per-subclass mode id: MAmbience 1, UAmbience 0, SAmbience 0x11, BAmbience 0x1a, AAmbience 3, and SAmbience::production passes 0xf through the same slot",a single push immediately before call [eax+0x10c] in all six; all byte-exact,open
0x00447340,vtable-slot,Ambience,0x1C,"slot 7, nullary void","call [edx+0x1c] with no push, in all five begin() overrides",open
0x00447340,callgraph,Ambience::begin,,"the ORDER of the two calls is not fixed by the base class: 0x10C then 0x1C for MAmbience and BAmbience, 0x1C then 0x10C for UAmbience, SAmbience and AAmbience. It cannot be assumed for a sibling without reading its bytes.","instruction order compared across all five, each byte-exact only in its own order",open
0x00625310,member,ImageButton,0x444,"a SECOND vtable pointer, re-installed by the destructor - a secondary base subobject, so these buttons are multiply inherited. PushButton has the same field at the same offset.","mov dword ptr [ecx+0x444], <const> after the store to [ecx], in both destructors; both then tail-jmp to the same BaseButton::~BaseButton at 0x607040",open
0x00629D20,member,StringBox,0xA1C,an int that receives on_scrolled's SECOND argument; the first is dead,"mov [ecx+0xa1c], eax with eax from [esp+8]; [esp+4] is never read",open
0x00629D40,vtable-slot,StringBox,0xC0,"slot 48 takes two ints, forwarded in (a1, a2) order","two pushes before call [eax+0xc0]; the second mov re-reads [esp+8] after the first push, which is the stack shift that proves the order",open
0x00644910,emitter,vtable classification,0x24,"a FALSE POSITIVE: the call graph read `call [eax+0x24]` as vtable slot 9 and emitted a 10-slot VCall shim, but there is no vtable fetch - eax is the incoming pointer itself. It is a raw function-pointer FIELD at +0x24, one indirection, not a virtual call.","mov eax,[esp+0xc] then call dword ptr [eax+0x24] with no intervening mov eax,[eax]; the shim was unused and the match came without it",open
0x00590CD0,member-type,the receiver of sub_590cd0,0x0,a nullable raw callback pointer at offset 0 - `int __cdecl(int)` - not a vtable pointer,"mov eax,[ecx]; test eax,eax; je; then a bare `call eax`, not call [eax] and not call [eax+N]",open
0x00590CD0,emitter,VC6 codegen,,an explicit `return 0;` on a guarded path materialises a SECOND return site and costs six bytes at /Od; reusing the already-tested value as the single result leaves eax exactly as the original does,the explicit form built 28 bytes against the original's 22; the single-result form is byte-exact,open
0x00447920,class,AAmbience and BAmbience,,"declared only in src/hypothesis_layouts.h, not in src/ambience.h, yet the scaffolding accepts out-of-line member definitions for them",void BAmbience::begin() and void AAmbience::begin() both compiled and matched with no extra declaration added,open
0x0063C4E0,emitter,the eax-vs-ecx diagnostic,,"when every mnemonic agrees and the ONLY difference is eax where the original has ecx, with the byte count otherwise identical, the callee is __thiscall and the caller is forwarding its own argument as `this`. That is a calling convention fact, not a register-allocator quirk, and it is worth checking before spending shapes on it.",eight cdecl phrasings of sub_63c4e0 all scored MNEMONIC_ONLY with a1 in eax; the __thiscall tail-call phrasing was byte-exact,open
0x0063C4E0,emitter,the catalogued head for sub_63c4e0,,"catalogued as nullary returning int; it reads one stack argument at [esp+4] and no path sets eax, so it is `void sub_63c4e0(int)`. Its callee sub_63c7c0 is catalogued as a nullary free function and is really a __thiscall member invoked with that argument as the receiver.","mov ecx, dword ptr [esp+4] at entry; measured across eight variants",open
0x0044A640,member,FameWin,0xA918,a 4-byte field cleared unconditionally when a group is clicked,"mov dword ptr [ecx+0xa918], 0 with ecx as this",open
0x004BDDB0,member-type,TutWin,0x53D4,"holds a POINTER to a vtable-bearing object, though the scaffolding types it int32_t; null-guarded before dispatch","mov ecx,[ecx+0x53d4]; test; je; then [ecx] read as a vtable pointer",open
0x004C7AB0,emitter,the return WIDTH is byte-visible,,"`xor al, al` is 32 C0 and `xor eax, eax` is 33 C0 - same length, different opcode - and VC6 emits the narrow clear ONLY for a bool return. So a catalogued `H` (int) on a function whose null path clears AL alone is a catalogue defect, not a body problem. Easy to miss precisely because the byte COUNT agrees and only the opcode differs.","an otherwise identical int-returning member compiles the null path to `xor eax, eax` under every flag set; declaring it bool gives `xor al, al` and byte-exactness. Corrected in catalogue_corrections.py",promoted
0x004C78C0,emitter,falling off the end of a non-void function,,"two Midi forwarders are byte-exact only with NO return statement on the null-delegate path: the original leaves eax untouched there, and any `return 0;` emits a clear it does not have. Formally undefined behaviour, and exactly what the original compiler did.","0x004C78C0 and 0x004C8050, both 26 bytes, both byte-exact this way",open
0x004C78C0,member,Midi,0x3C,"the polymorphic delegate every Midi forwarder dispatches through; slots seen so far are 45 (bool, uint), 59 (int, const char*), 70 (bool, uint) and 71 (int, uint)","mov ecx,[ecx+0x3c]; test ecx,ecx identical across 0x004C78C0, 0x004C8050, 0x004C7AB0, 0x004C7FA0 and the three thunks at 0x004C88B0/8910/8930",open
0x00447470,vtable-slot,Ambience,0x118,slot 70 takes one int and returns bool; it gates slot 67 behind an already-handled check with threshold 0x64 in both MAmbience::tech (mode 0x69) and MAmbience::energy_resources (mode 4),"push 0x64; call [eax+0x118]; test al,al; jne over the slot-67 call",open
0x00447BC0,member,GAmbience,0x68,a dword holding the same mode id (0x18) the object announces through slot 67; alone among the six begin() overrides in storing it,"mov dword ptr [esi+0x68], 0x18 between the two vtable calls, esi as this",open
0x0060FB90,embedded,CheckBox,-0x1C,"a NEGATIVE offset from `this`, so CheckBox is a SUBOBJECT inside a larger object and this walks back to the enclosing one. A further delta is then read from that object's +4 and added - the shape of a virtual base adjustment. The declaration models none of this.","mov eax,[ecx-0x1c] with ecx as this and no stack access; byte-exact",open
0x0041E510,embedded,BaseWin,-0xA14,"another NEGATIVE offset: BaseWin is a subobject and this reaches the enclosing window, whose vtable slot 44 takes the click","mov eax,[ecx-0xa14]; add ecx,0xfffff5ec recomputes the same adjusted this",open
0x00496540,member,QuayleWin,0x2144,"int, written from the first argument before the repaint call","mov [ecx+0x2144], eax; Ghidra independently types it param_1[0x851], and 0x851*4 == 0x2144",open
0x00633980,member-type,CheckButton,0xA20,"a raw __cdecl function pointer, NOT a vtable slot - `call eax` after one dereference, with `pop ecx` cleanup","mov eax,[ecx+0xa20]; test; je; call eax",open
0x00633980,member,CheckButton,0xA18,"int, passed as the callback's only argument","mov ecx,[ecx+0xa18]; push ecx immediately before call eax",open
,emitter,hypothesis_layouts.h and the reinterpret_casts,,"EVERY `reinterpret_cast<Layout *>(this)` with a `char pad[N]` in a recovered body is a missing MEMBER, and every `reinterpret_cast<VCall *>(this)` is missing INHERITANCE or missing virtuals. The proof is GAmbience::begin, which writes `field_68_ = 0x18;` with no cast at all - because hypothesis_layouts.h happens to declare that member. Midi by contrast is `uint8_t field_0_[0x50]`, one opaque blob, so every Midi body casts.","the generator reads member evidence from idb-members.csv, thinker-members.csv and access-lower-bounds.csv - but not from this file, which is the only source derived from PROVED byte-exact recoveries",open
,emitter,literal image addresses in recovered bodies,,"THE BIGGEST STRUCTURAL TELL BY AN ORDER OF MAGNITUDE. 417 of 2,681 recovered bodies write a bare image address, covering 752 distinct globals. 448 of those addresses ALREADY have a name somewhere in src/ - the body could use it today and does not, because nothing maps address to name at recovery time. The other 304 are genuinely unnamed. A generated address-to-name header would retire the first group outright.",scanned every recovered body in src/recovered/ and every catalogued src/ span; cross-referenced against every `name = 0xADDR` binding in src/,open
,emitter,scaffolding globals reaching committed bodies,,"61 recovered bodies reference a `g_XXXXXXXX` name that ONLY the verification scaffolding declares. Those bodies cannot compile against the project's headers, so they are the ones that block integration into src/ - and the count is a direct estimate of that work.",scan of the same corpus; no product file declares any g_ name,open
,emitter,hand-rolled local classes in recovered bodies,,"47 bodies declare a class or struct of their own, 20 of them a vtable shim. Each one is a type the tree does not declare: 20 say a class is missing virtual methods or a base, and the rest that a struct is missing entirely. 8 more stand a `char pad[N]` in for a layout, which is a size fact.","same scan; contrast with the 40 bodies that use a declared `field_N_` cleanly, which is what the others would look like if the type existed",open
0x00524320,emitter,dispatching a vtable slot without C4234,,"VC6 rejects an explicit `__thiscall` FUNCTION-pointer typedef with C4234, but a POINTER-TO-MEMBER-FUNCTION is implicitly thiscall and works. That is the way to call a vtable slot by offset when a shim class will not do - and it reproduces the tail `jmp` rather than a call/ret pair.",`(obj->*(*(Slot062Fn *)((char *)vtable_ + 0xf8)))()` byte-exact at 27 bytes,open
0x00590D40,emitter,VC6 fuses constant-base plus scaled-index,,"VC6 ALWAYS folds `const_base + index*scale` into one `mov reg,[idx*scale+const]` when a single field of the record is read, and never emits the original's separate `lea` then `mov`. The split reappears only when a SECOND field of the same record is read, forcing the address to stay live - which is not what the original does. This is why 0x00590D40 stops at 26 of 28 bytes with exactly one missing `lea`.","measured across /O2 and /O1 with and without /Oy-, plus /Od, and a dozen phrasings: bare cast-and-deref, materialised local pointer, 2D-array form, int*-stride indexing, integer address arithmetic, a reference binding, a non-inlined helper, and pointer-to-member-data",open
0x00590D40,emitter,a narrow field widened for a wider parameter,,"an `unsigned char` member passed to a callback reproduces the original's `xor edx,edx; mov dl,[ecx+3]` widening ONLY when the callback's parameter is declared `int`; declaring it `unsigned char` collapses it to a single movzx-shaped op and costs an edit",measured while narrowing 0x00590D40 from 3 edits to 1,open
0x00559140,table,-,0x946C34,"records of 359 ints (1436 bytes) each, indexed by faction id","lea ecx,[eax+eax*4]; lea ecx,[ecx+ecx*8]; shl ecx,3; sub ecx,eax computes a1*359 before the pointer's own *4 scale",open
0x00590D40,table,-,0x945A60,"8-byte records of {__cdecl callback taking one int, unused dword}, selected by a byte index","lea eax,[eax*8+0x945a60] with eax from a zero-extended byte, then mov eax,[eax]; test; call eax",open
0x00524320,member,Base524320,0xA18,an int flag toggled between 0 and 1 on each call,"mov edx,[ecx+0xa18]; test; sete al; mov [ecx+0xa18],eax",open
,emitter,proved members stop at the pinned-layout gate,,"`emit_hypothesis_layouts.py` now reads the observation log, so Midi declares `field_3c_` instead of one opaque `uint8_t field_0_[0x50]`. That helps PRODUCT code and not the verifier: the emitter emits real members only from `class_layouts.pinned_layouts()`, which requires a layout proved to compile to the real class SIZE, and hypothesis layouts are withheld from agents on purpose so a wrong offset cannot reach one. A body written against `field_3c_` therefore scores NO_COMPILE.",measured: a cast-free Midi::set_base_path using field_3c_ gives `error C2065: 'field_3c_' : undeclared identifier` in the verification unit,open
,emitter,"the next step, and why it is a decision not a tweak",,"a member PROVED by a byte-exact body cannot be at the wrong offset, which is exactly what the pinned gate exists to prevent - so admitting proved members to the emitter is defensible. But it widens a deliberate safety invariant, and it does not give the class a proved SIZE, so it needs its own decision rather than being slipped in behind a generator change.",class_layouts.declaration_for reads pinned_layouts only; hypothesis_layouts.h documents the withholding as intentional,open
,emitter,a local shim class is C2599,,"the vtable shim must be declared at FILE SCOPE. A local class inside the function body requires an in-class body for every declared member in this dialect, and giving virtual slots bodies emits extra .text symbols the verifier then rejects as more than one external symbol.","hit on all four of 0x004474E0, 0x00446B10, 0x004429C0, 0x005F86A0",open
0x004429C0,emitter,vtable_slots misses jmp-only dispatch,,"the emitter scans `call [reg+disp]` only, so a body whose ONLY vtable dispatch is a tail `jmp` gets no VCall shim at all - the generated context for 0x004429C0 declares none, unlike every neighbour",confirmed against the generated prompt for that address,open
0x00446B10,member-type,FX,0x28EC,"SIGNED, despite the header declaring uint32_t: the guard is `test eax,eax; jl`, and an unsigned `>= 0` is trivially true so the branch vanishes",reading it through an int32_t local is what makes 0x00446B10 byte-exact,open
0x00446B10,embedded,FX,,effects_ elements have stride 0x6C and are addressed as this + index*0x6C,"lea eax,[eax+eax*2]; lea eax,[eax+eax*8] is index*27, times the dword scale is 0x6C",open
0x004429C0,member,DiploWin,0xA1C,"dword cleared unconditionally when a deal concludes; 0xA20 alongside it, and 0xA24/0xA28 are both set to 3",four stores through this before the tail dispatch,open
0x004474E0,vtable-slot,Ambience,0x110,"slot 68 takes one int and is called TWICE with different constants, 4 then 0x69 - so the family's slots are not one-shot announcements",two independent push+call pairs to [reg+0x110] in MAmbience::new_base,open
0x00615E40,member,EditBox,0xB48,"one-dword flag toggled 0/1 (xor eax,eax; test; sete al) then written back before the tail dispatch to slot 62 - same shape as StringBox +0xA1C / QuayleWin +0x2144 / FameWin +0xA918","mov edx,[ecx+0xb48]; test edx,edx; sete al; mov [ecx+0xb48],eax, with ecx the object the body works on",open
0x00615E40,callgraph,EditBox::caret_callback,,"the thiscall `this` delivered in ECX at entry is dead: it is overwritten before any use by the function's own single stack argument, which is what every subsequent access (the 0xB48 flag and the vtable at [ecx]) actually operates on","first instruction is `mov ecx, dword ptr [esp+4]`, discarding the incoming ECX with no prior read of it",open
0x00615E40,emitter,tail-jmp through a computed receiver,,"in this VC6 build a pointer-to-member/vtable dispatch in tail position never lowers to a bare `jmp` when (a) the call forwards an explicit argument, or (b) the receiver is derived from a function parameter rather than being the enclosing `this` directly - confirmed by re-compiling the already byte-exact 0x00524320 (Base524320::toggle_and_repaint, a nullary this-based tail dispatch) with the SAME fields/call but the receiver swapped for an explicit pointer parameter: it degrades from `jmp` to `call`, and adding an int argument on top degrades it again even when the receiver stays `this`","four A/B recompiles via tools/byte_match.py --source, all MISMATCH at the jmp/call instruction, holding class layout and slot offset fixed while varying only receiver-is-this vs receiver-is-parameter and nullary vs one-int-arg",open
0x006115E0,member,SpriteBox,-0x8C,"holds a pointer used purely to reach an enclosing/virtual-base object: read once for its own value and once more at +4 for an adjustment delta, then `this - 0x8C + delta` is the real receiver of slot 62","mov eax,[ecx-0x8c]; mov edx,[eax+4]; eax=[edx+ecx-0x8c]; lea ecx,[edx+ecx-0x8c]; call [eax+0xf8] - classic MSVC vbtable this-adjustment shape, reproduced byte-exact as one reinterpret_cast expression",open
0x006115E0,vtable-slot,SpriteBox (adjusted receiver),0xF8,slot 62 is nullary here (no stack push before the call) - the function's own `int a1` parameter is read only for its byte count and is otherwise unused,"call [eax+0xf8] with no intervening push, followed by `ret 4` that pops a1 alone",open
0x0045D2E0,table,SubInterface iface registry (g_007ae7f0..g_007ae820),0x7AE7F0,"12 contiguous int32 slots, each either 0 or an active SubInterface instance pointer; delete_iface_mode zeroes the slot matching `this`","do/while over 12 dwords comparing each to ecx(this); mov [edx*4+0x7ae7f0],0 at the match, byte-exact",open
0x0045D2E0,emitter,do-while-with-early-return loop rotation,,"VC6 (all four measured flag sets) rewrites `do { if (match) {work; return;} ...} while(bound)` into a rotated loop that duplicates the top-of-loop compare before the back-edge, adding an extra cmp+jcc/jmp not present in the original; writing the IDENTICAL logic as a top-tested `while (bound) {...}` instead avoids the rotation entirely (VC6 proves the 12/92-element bound non-empty and drops the redundant first test) - `do-while` and an equivalent `goto`-chain both trigger the rotation, only `while` does not","0x0045D2E0 and 0x005CF120 both went MISMATCH (extra cmp/jmp, or `and` instead of `mov`) as do-while/goto and BYTE_EXACT as while, with no other source change",open
0x0045D2E0,emitter,signed pointer-range comparisons,,"the original's loop-bound compare is signed (`jl`), but a bare `p < end` on two `int*` compiles unsigned (`jae`/`jb`) in this VC6 build; forcing signed needs both sides reinterpret_cast to `int`, and the cast must be applied to the actual end-of-table address rather than to a small derived loop counter, or the immediate shrinks to one byte and the encoding is 2 bytes short","reinterpret_cast<int>(p) < reinterpret_cast<int>(g_007ae820) reproduced the exact 5-byte `cmp reg,imm32; jl` encoding; comparing an index against a small constant instead kept the same mnemonics but encoded 2 bytes shorter",open
0x005F12B0,callgraph,sub_5f12b0,,"not a class member: a WNDPROC-style helper that recovers a C++ object via GetWindowLongA(hwnd, GWL_USERDATA=-0x15) through the import cell at 0x66934C, then forwards its own 2nd and 3rd arguments to a virtual call on that object; returns 0 when GetWindowLongA fails","push -0x15; push hwnd; call [0x66934c]; test eax,eax; je exit; ecx/edx built from [esp+0xc]/[esp+8] pushed as two args before `call [edx+0x118]`",open
0x005F12B0,vtable-slot,object recovered from GWL_USERDATA,0x118,"slot 70 takes two ints, the helper's own 2nd and 3rd arguments forwarded in source order","two pushes (arg3 then arg2, landing arg2 first on the stack) then call [edx+0x118]; byte-exact",open
0x005F12B0,emitter,explicit return 0 vs shared epilogue,,"an explicit `return 0;` on the object-is-null path re-materialises eax with its own `xor eax,eax` because the compiler does not prove eax is still zero across the branch from the earlier failed GetWindowLongA call; writing the single variable back on both paths (`object = GetWindowLongA(...); if (object) object = slot(...); return object;`) lets the null path fall straight through to one shared `ret`, matching the original exactly","MISMATCH with an extra `xor eax,eax` + second `ret` for the two-return-statement form; BYTE_EXACT for the single-variable/single-return form",open
0x005CF120,table,error-code table (g_00694e28),0x694E28,"92 records of two dwords each: int32 key at +0, char* message at +4 (message array at g_00694e28+4); a linear scan over the key column","cmp ecx,[eax]; add eax,8; bound 0x695108; hit reads dword ptr [edx*8+0x694e2c]; byte-exact",open
0x005CF120,member,fallback message (g_00695b34),0x695B34,a fixed default string pointer returned as a bare address value (not dereferenced) when no key in the table matches,"mov eax,0x695b34; ret with no load, i.e. the constant itself is the return value",open
0x0060FB90,class,CheckBox,,"VIRTUALLY DERIVED - confirmed, not inferred. A declared hierarchy with a non-virtual lead base plus `public virtual VBase`, calling slot062() as an ordinary virtual, compiles SHAPE_EXACT: all six instructions and every register match. Only the vbptr displacement differs, +0x18 against the original's -0x1C, which is a fact about the ENCLOSING class rather than about CheckBox.","measured with try_variants against 0x0060FB90; two other arrangements ruled out, one giving a positive displacement and one changing lea to add",open
0x006115E0,class,SpriteBox,,"the same virtual-base sequence as CheckBox with displacement -0x8C, so the same conclusion applies and the two differ only in where the subobject sits",byte-identical instruction sequence to 0x0060FB90 apart from the displacement,open
,emitter,what would settle the hierarchy,,"a negative vbptr displacement means `this` sits N bytes PAST the vbptr, so the function's class is a later base inside a larger object. Which class encloses CheckBox, and at what offset, cannot be read from CheckBox's own code - but a CALLER of one of these functions would show it. That is a targeted question for whoever recovers a caller.",two hierarchy arrangements tried and ruled out; the shape is reproducible and only the constant is unknown,open
0x0041E8B0,embedded,BaseWin,0xA14,SubInterface sub-object embedded at +0xA14,"lea ecx,[esi+0xa14] with esi=this immediately before call ?release_iface_mode@SubInterface@@QAEXXZ; body byte-exact",open
0x0042BD60,embedded,Datalink,0xA14,SubInterface sub-object embedded at +0xA14,"lea ecx,[esi+0xa14] with esi=this before call release_iface_mode; body byte-exact",open
0x004B26B0,embedded,SocialWin,0xA14,SubInterface sub-object embedded at +0xA14,"lea ecx,[esi+0xa14] with esi=this before call release_iface_mode; body byte-exact",open
0x00427130,embedded,CouncWin,0xA14,SubInterface sub-object embedded at +0xA14,"lea ecx,[esi+0xa14] with esi=this before call set_iface_mode; body byte-exact",open
